,GeoFips,GeoName,LineCode,Description,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
10,5000,Arkansas,2,Population (persons) 1/,1852000,1859000,1848000,1836000,1854000,1878000,1890000,1892000,1903000,1928000,1948000,1955000,1966000,1983000,1839000,1771000,1758000,1805000,1835000,1825000,1844000,1908000.0,1901000.0,1838000.0,1780000.0,1734000.0,1725000.0,1704000.0,1733000.0,1726000.0,1756000.0,1789000.0,1806000.0,1853000.0,1875000.0,1897000.0,1894000.0,1899000.0,1901000.0,1902000.0,1913000.0,1930077.0,1972028.0,2018116.0,2058491.0,2100385.0,2158291.0,2168688.0,2207228.0,2241019.0,2269115.0,2288738.0,2293204.0,2294254.0,2305766.0,2319767.0,2327046.0,2331988.0,2342357.0,2342655.0,2346354.0,2356586.0,2383144.0,2415984.0,2456303.0,2494019.0,2535399.0,2572109.0,2601090.0,2626289.0,2651860.0,2678588.0,2691571.0,2705927.0,2724816.0,2749686.0,2781097.0,2821761.0,2848650.0,2874554.0,2896843.0,2921964.0,2940667.0,2952164.0,2959400.0,2967392.0,2978048.0,2989918.0,3001345.0,3009733.0,3017804.0
11,5000,Arkansas,3,Per capita personal income (dollars) 2/,303,224,207,152,153,182,204,243,253,228,246,257,344,491,572,698,753,760,740,881,818,849.0,970.0,1043.0,1084.0,1100.0,1202.0,1262.0,1280.0,1339.0,1436.0,1424.0,1535.0,1600.0,1676.0,1799.0,1902.0,2109.0,2238.0,2419.0,2681.0,2915.0,3176.0,3504.0,4069.0,4453.0,4769.0,5247.0,5736.0,6546.0,7090.0,7597.0,8592.0,9024.0,9513.0,10543.0,11165.0,11708.0,12139.0,13022.0,13946.0,14622.0,15299.0,16438.0,16956.0,17758.0,18602.0,19458.0,20187.0,21222.0,21861.0,22762.0,23840.0,24266.0,25524.0,26924.0,28047.0,29438.0,31070.0,31940.0,31153.0,31927.0,33860.0,36239.0,36237.0,38264.0,39513.0,40385.0,41657.0,43325.0,44629.0
12,6000,California,1,Personal income (millions of dollars),5495.5,5079.4,4387.5,3441.4,3277.3,3666.5,4107.3,4923.2,5231.8,5188.3,5362,5947.6,7519.7,10344.7,13700.6,14963.9,15585,16590.5,17086,18274.5,18601.7,20788.1,24117.2,26794.1,28728.1,29603.7,32550.0,35615.7,38269.5,40252.4,44031.4,46521.1,49266.6,53085.5,56740.1,61404.6,65617.5,71356.0,76731.6,84055.7,92160.0,99417.5,105987.2,116351.1,127777.3,142507.4,157639.9,174924.8,194032.9,220640.1,250173.9,284308.0,319557.2,342342.5,369808.8,410796.4,444066.9,476682.2,513377.1,558041.1,600755.1,643684.9,665992.6,702449.1,719731.0,742429.1,780642.8,829666.6,882677.3,959949.7,1026419.3,1133965.4,1173768.8,1193118.0,1248506.5,1329404.0,1407285.5,1516057.5,1581573.3,1606579.9,1554013.3,1628457.6,1737940.0,1852397.5,1886376.6,2021035.6,2172930.2,2273557.5,2383130.5,2514503.4,2632279.8
13,6000,California,2,Population (persons) 1/,5531000,5711000,5824000,5894000,5963000,6060000,6175000,6341000,6528000,6656000,6785000,6950000,7269000,7814000,8623000,9261000,9619000,9727000,9912000,10064000,10337000,10677000.0,11134000.0,11635000.0,12251000.0,12746000.0,13133000.0,13713000.0,14264000.0,14880000.0,15467000.0,15870000.0,16497000.0,17072000.0,17668000.0,18151000.0,18585000.0,18858000.0,19176000.0,19394000.0,19711000.0,20023181.0,20345575.0,20584794.0,20867737.0,21172548.0,21536715.0,21934505.0,22350247.0,22838960.0,23255069.0,23800800.0,24285933.0,24820007.0,25360023.0,25844397.0,26441107.0,27102238.0,27777160.0,28464250.0,29218165.0,29959515.0,30470736.0,30974659.0,31274928.0,31484435.0,31696582.0,32018834.0,32486010.0,32987675.0,33499204.0,33987977.0,34479458.0,34871843.0,35253159.0,35574576.0,35827943.0,36021202.0,36250311.0,36604337.0,36961229.0,37319502.0,37638369.0,37948800.0,38260787.0,38596972.0,38918045.0,39167117.0,39358497.0,39461588.0,39512223.0
14,6000,California,3,Per capita personal income (dollars) 2/,994,889,753,584,550,605,665,776,801,779,790,856,1034,1324,1589,1616,1620,1706,1724,1816,1800,1947.0,2166.0,2303.0,2345.0,2323.0,2478.0,2597.0,2683.0,2705.0,2847.0,2931.0,2986.0,3110.0,3211.0,3383.0,3531.0,3784.0,4001.0,4334.0,4676.0,4965.0,5209.0,5652.0,6123.0,6731.0,7320.0,7975.0,8681.0,9661.0,10758.0,11945.0,13158.0,13793.0,14582.0,15895.0,16795.0,17588.0,18482.0,19605.0,20561.0,21485.0,21857.0,22678.0,23013.0,23581.0,24629.0,25912.0,27171.0,29100.0,30640.0,33364.0,34043.0,34214.0,35415.0,37369.0,39279.0,42088.0,43629.0,43890.0,42044.0,43636.0,46175.0,48813.0,49303.0,52363.0,55833.0,58048.0,60549.0,63720.0,66619.0
15,8000,Colorado,1,Personal income (millions of dollars),635.6,596.8,498.5,380.3,378.4,399.5,480,590.4,589.5,564.5,581.4,619.7,736,1038.5,1228.2,1221.3,1350.2,1472.3,1695.8,1880.6,1914.6,2098.9,2493.8,2692.5,2725.8,2808.7,3059.7,3376.0,3699.1,3787.1,4068.0,4353.4,4683.9,4942.1,5174.4,5474.2,5840.6,6275.8,6763.5,7502.7,8438.8,9540.2,10759.7,12176.1,13923.1,15609.2,17249.7,18981.3,21174.2,24413.5,27979.3,32050.8,36882.9,40505.9,43694.2,47644.6,50483.6,52445.7,54400.0,57556.6,62010.1,65667.2,69601.9,75599.1,81812.1,87983.8,95648.8,103235.8,111207.8,123101.2,133020.5,147924.9,154999.8,155404.1,158210.9,164106.0,175273.0,189475.6,201875.5,208738.0,198800.2,205372.4,223153.2,237141.5,249281.6,271307.5,284819.6,290669.6,312045.5,335195.8,352184.7
16,8000,Colorado,2,Population (persons) 1/,1008000,1040000,1056000,1066000,1071000,1075000,1078000,1090000,1104000,1112000,1120000,1130000,1124000,1133000,1151000,1124000,1113000,1196000,1236000,1263000,1295000,1325000.0,1326000.0,1365000.0,1431000.0,1493000.0,1546000.0,1625000.0,1664000.0,1667000.0,1710000.0,1769000.0,1844000.0,1899000.0,1936000.0,1970000.0,1985000.0,2007000.0,2053000.0,2120000.0,2166000.0,2223979.0,2303502.0,2404576.0,2495803.0,2541318.0,2586144.0,2632244.0,2696007.0,2766725.0,2849181.0,2908803.0,2977899.0,3061562.0,3133634.0,3169995.0,3208726.0,3237448.0,3260477.0,3262280.0,3275815.0,3307618.0,3387119.0,3495939.0,3613734.0,3724168.0,3826653.0,3919972.0,4018293.0,4116639.0,4226018.0,4326921.0,4425687.0,4490406.0,4528732.0,4575013.0,4631888.0,4720423.0,4803868.0,4889730.0,4972195.0,5047349.0,5121108.0,5192647.0,5269035.0,5350101.0,5450623.0,5539215.0,5611885.0,5691287.0,5758736.0
17,8000,Colorado,3,Per capita personal income (dollars) 2/,631,574,472,357,353,372,445,542,534,508,519,548,655,917,1067,1087,1213,1231,1372,1489,1478,1584.0,1881.0,1973.0,1905.0,1881.0,1979.0,2078.0,2223.0,2272.0,2379.0,2461.0,2540.0,2602.0,2673.0,2779.0,2942.0,3127.0,3294.0,3539.0,3896.0,4290.0,4671.0,5064.0,5579.0,6142.0,6670.0,7211.0,7854.0,8824.0,9820.0,11019.0,12386.0,13230.0,13944.0,15030.0,15733.0,16200.0,16685.0,17643.0,18930.0,19853.0,20549.0,21625.0,22639.0,23625.0,24995.0,26336.0,27675.0,29903.0,31477.0,34187.0,35023.0,34608.0,34935.0,35870.0,37841.0,40140.0,42024.0,42689.0,39982.0,40689.0,43575.0,45669.0,47311.0,50711.0,52254.0,52475.0,55604.0,58896.0,61157.0
18,9000,Connecticut,1,Personal income (millions of dollars),1640.5,1494.7,1313.1,1026.9,970.3,1091.2,1191,1362.2,1459.3,1312,1436.6,1589.7,2029.9,2588.3,2912.4,2921.7,2837.5,3058,3387.8,3508.9,3417.3,3867.6,4444.2,4860.8,5269.9,5373.8,5787.9,6323.5,6744.3,6538.0,6986.9,7276.1,7701.7,8227.2,8691.1,9334.8,10038.6,11023.5,12086.4,12828.8,14692.5,15673.8,16514.4,17804.7,19393.4,21157.2,22725.5,24536.4,27032.7,30080.9,33813.6,38493.9,43243.0,46701.3,49958.2,55880.7,60000.0,64553.3,70443.3,77668.2,84249.0,86889.1,87815.8,94269.3,97347.6,100108.3,105642.5,110746.3,117991.8,127327.7,134415.3,147054.8,155243.1,155347.9,157679.4,166262.0,175470.6,189750.4,204090.2,216865.3,213612.1,222226.0,228929.4,233337.8,228472.2,239001.1,245244.0,250178.6,256348.8,267346.2,275556.8
19,9000,Connecticut,2,Population (persons) 1/,1594000,1613000,1628000,1637000,1642000,1650000,1666000,1672000,1678000,1684000,1696000,1708000,1751000,1798000,1797000,1801000,1782000,1911000,1969000,2014000,2032000,2016000.0,2028000.0,2081000.0,2168000.0,2249000.0,2300000.0,2316000.0,2359000.0,2446000.0,2523000.0,2544000.0,2586000.0,2647000.0,2727000.0,2798000.0,2857000.0,2903000.0,2935000.0,2964000.0,3000000.0,3038782.0,3061448.0,3069617.0,3069140.0,3075784.0,3084726.0,3085984.0,3088729.0,3094839.0,3099907.0,3113174.0,3128837.0,3139014.0,3162355.0,3180014.0,3201131.0,3223741.0,3247290.0,3271954.0,3283404.0,3291967.0,3302895.0,3300712.0,3309175.0,3316121.0,3324144.0,3336685.0,3349348.0,3365352.0,3386401.0,3411777.0,3432835.0,3458749.0,3484336.0,3496094.0,3506956.0,3517460.0,3527270.0,3545579.0,3561807.0,3579114.0,3588283.0,3594547.0,3594841.0,3594524.0,3587122.0,3578141.0,3573297.0,3571520.0,3565287.0
