GeoFips,GeoName,LineCode,Description,2018,2019
38000,North Dakota,1,Personal income (millions of dollars),42291.9,43614.4
38000,North Dakota,2,Population (persons) 1/,758080,762062
38000,North Dakota,3,Per capita personal income (dollars) 2/,55788,57232
39000,Ohio,1,Personal income (millions of dollars),569184,586784
39000,Ohio,2,Population (persons) 1/,11676341,11689100
39000,Ohio,3,Per capita personal income (dollars) 2/,48747,50199
40000,Oklahoma,1,Personal income (millions of dollars),180633.6,187327.5
40000,Oklahoma,2,Population (persons) 1/,3940235,3956971
40000,Oklahoma,3,Per capita personal income (dollars) 2/,45843,47341
41000,Oregon,1,Personal income (millions of dollars),215365.4,224346.4
41000,Oregon,2,Population (persons) 1/,4181886,4217737
41000,Oregon,3,Per capita personal income (dollars) 2/,51500,53191
42000,Pennsylvania,1,Personal income (millions of dollars),717255.3,742924.3
42000,Pennsylvania,2,Population (persons) 1/,12800922,12801989
42000,Pennsylvania,3,Per capita personal income (dollars) 2/,56032,58032
44000,Rhode Island,1,Personal income (millions of dollars),57603.7,59707.2
44000,Rhode Island,2,Population (persons) 1/,1058287,1059361
44000,Rhode Island,3,Per capita personal income (dollars) 2/,54431,56361
45000,South Carolina,1,Personal income (millions of dollars),223256.9,233948.4
45000,South Carolina,2,Population (persons) 1/,5084156,5148714
45000,South Carolina,3,Per capita personal income (dollars) 2/,43912,45438
46000,South Dakota,1,Personal income (millions of dollars),46248.9,47738.1
46000,South Dakota,2,Population (persons) 1/,878698,884659
46000,South Dakota,3,Per capita personal income (dollars) 2/,52633,53962
47000,Tennessee,1,Personal income (millions of dollars),319689.7,332472.7
47000,Tennessee,2,Population (persons) 1/,6771631,6829174
47000,Tennessee,3,Per capita personal income (dollars) 2/,47210,48684
48000,Texas,1,Personal income (millions of dollars),1463962.2,1531346.5
48000,Texas,2,Population (persons) 1/,28628666,28995881
48000,Texas,3,Per capita personal income (dollars) 2/,51136,52813
49000,Utah,1,Personal income (millions of dollars),148240.6,156896.3
49000,Utah,2,Population (persons) 1/,3153550,3205958
49000,Utah,3,Per capita personal income (dollars) 2/,47008,48939
50000,Vermont,1,Personal income (millions of dollars),33422.7,34502.3
50000,Vermont,2,Population (persons) 1/,624358,623989
50000,Vermont,3,Per capita personal income (dollars) 2/,53531,55293
51000,Virginia,1,Personal income (millions of dollars),492764.3,509201.3
51000,Virginia,2,Population (persons) 1/,8501286,8535519
51000,Virginia,3,Per capita personal income (dollars) 2/,57964,59657
53000,Washington,1,Personal income (millions of dollars),468055.1,493127.9
53000,Washington,2,Population (persons) 1/,7523869,7614893
53000,Washington,3,Per capita personal income (dollars) 2/,62209,64758
54000,West Virginia,1,Personal income (millions of dollars),74321.6,75834.6
54000,West Virginia,2,Population (persons) 1/,1804291,1792147
54000,West Virginia,3,Per capita personal income (dollars) 2/,41192,42315
55000,Wisconsin,1,Personal income (millions of dollars),299827,309909.3
55000,Wisconsin,2,Population (persons) 1/,5807406,5822434
55000,Wisconsin,3,Per capita personal income (dollars) 2/,51628,53227
56000,Wyoming,1,Personal income (millions of dollars),35054.2,35992.7
56000,Wyoming,2,Population (persons) 1/,577601,578759
56000,Wyoming,3,Per capita personal income (dollars) 2/,60689,62189
